make,model,make_year,fuel_type,transmission,kms_driven,engine_size,body_type,price,key
Suzuki,S-Presso,2021,Gasoline,Manual,"30,000",1.0,Hatchback,415000,Suzuki S-Presso
Ford,Everest,2017,Diesel,Automatic,"60,000",2.2,SUV,930000,Ford Everest
Honda,Civic,2017,Gasoline,Automatic,"50,000",1.8,Sedan,760000,Honda Civic
Toyota,Innova,2023,Diesel,Automatic,"17,000",2.8,MPV,1120000,Toyota Innova
Toyota,Camry,2013,Gasoline,Automatic,"60,000",2.5,Sedan,520000,Toyota Camry
Hyundai,Tucson,2013,Diesel,Automatic,"70,000",2.0,Crossover,470000,Hyundai Tucson
Toyota,Rush,2018,Gasoline,Automatic,"50,000",1.5,MPV,720000,Toyota Rush
Ford,Ranger,2021,Diesel,Automatic,"40,000",2.0,Pickup,1540000,Ford Ranger
Mitsubishi,Montero,2012,Diesel,Automatic,"80,000",2.5,SUV,645000,Mitsubishi Montero
Toyota,Fortuner,2017,Gasoline,Automatic,"60,000",2.7,SUV,940000,Toyota Fortuner
Mitsubishi,Mirage,2024,Gasoline,Automatic,"2,000",1.2,Sedan,610000,Mitsubishi Mirage
Toyota,Fortuner,2017,Gasoline,Automatic,"40,000",2.7,SUV,950000,Toyota Fortuner
Hyundai,Grand,2019,Diesel,Automatic,"40,000",2.5,Van,960000,Hyundai Grand
Toyota,Vios,2022,Gasoline,CVT,"17,000",1.3,Sedan,645000,Toyota Vios
Toyota,Vios,2017,Gasoline,Automatic,"40,000",1.3,Sedan,460000,Toyota Vios
Toyota,Avanza,2022,Gasoline,CVT,"21,000",1.3,MPV,815000,Toyota Avanza
Toyota,Fortuner,2016,Gasoline,Automatic,"60,000",2.7,SUV,930000,Toyota Fortuner
Nissan,Juke,2017,Gasoline,CVT,"40,000",1.6,Crossover,505000,Nissan Juke
Mazda,2,2016,Gasoline,Automatic,"50,000",1.5,Sedan,420000,Mazda 2
Honda,Civic,2021,Gasoline,CVT,"40,000",1.8,Sedan,905000,Honda Civic
Suzuki,APV,2008,Gasoline,Manual,"90,000",1.6,MPV,270000,Suzuki APV
Toyota,Fortuner,2016,Diesel,Automatic,"50,000",2.4,SUV,1020000,Toyota Fortuner
Ford,Ranger,2016,Diesel,Automatic,"60,000",2.2,Pickup,680000,Ford Ranger
Suzuki,Vitara,2019,Gasoline,Automatic,"50,000",1.6,Crossover,690000,Suzuki Vitara
Honda,BR-V,2019,Gasoline,CVT,"50,000",1.5,Crossover,690000,Honda BR-V
Toyota,Fortuner,2017,Diesel,Automatic,"50,000",2.4,SUV,1110000,Toyota Fortuner
Toyota,Wigo,2016,Gasoline,Automatic,"30,000",1.0,Hatchback,360000,Toyota Wigo
Geely,Coolray,2020,Gasoline,Automatic,"16,000",1.5,Crossover,680000,Geely Coolray
Suzuki,Ertiga,2019,Gasoline,Automatic,"10,000",1.5,MPV,630000,Suzuki Ertiga
Toyota,Corolla,2018,Gasoline,Automatic,"30,000",1.6,Sedan,635000,Toyota Corolla
Toyota,Vios,2018,Gasoline,Automatic,"40,000",1.3,Sedan,520000,Toyota Vios
Kia,Sportage,2018,Diesel,Automatic,"50,000",2.0,Crossover,790000,Kia Sportage
Toyota,Wigo,2024,Gasoline,CVT,300,1.0,Hatchback,630000,Toyota Wigo
Nissan,NV350,2021,Diesel,Manual,"30,000",2.5,Van,930000,Nissan NV350
Hyundai,Tucson,2014,Gasoline,Automatic,"40,000",2.0,Crossover,470000,Hyundai Tucson
Chevrolet,Trailblazer,2017,Diesel,Automatic,"50,000",2.8,SUV,720000,Chevrolet Trailblazer
Suzuki,APV,2017,Gasoline,Automatic,"40,000",1.6,MPV,480000,Suzuki APV
Mitsubishi,Montero,2014,Diesel,Automatic,"70,000",2.5,SUV,675000,Mitsubishi Montero
Toyota,Yaris,2017,Gasoline,Automatic,"30,000",1.3,Hatchback,480000,Toyota Yaris
Suzuki,Ertiga,2020,Gasoline,Manual,"30,000",1.5,MPV,515000,Suzuki Ertiga
Suzuki,Vitara,2019,Gasoline,Automatic,"40,000",1.6,Crossover,590000,Suzuki Vitara
Suzuki,Ertiga,2015,Gasoline,Automatic,"70,000",1.4,MPV,430000,Suzuki Ertiga
Honda,Mobilio,2016,Gasoline,Automatic,"50,000",1.5,MPV,540000,Honda Mobilio
Ford,Everest,2020,Diesel,Automatic,"40,000",2.0,SUV,1320000,Ford Everest
Suzuki,Swift,2015,Gasoline,Automatic,"60,000",1.2,Hatchback,385000,Suzuki Swift
Suzuki,Ertiga,2019,Gasoline,Automatic,"50,000",1.5,MPV,565000,Suzuki Ertiga
Honda,Brio,2019,Gasoline,CVT,"30,000",1.2,Hatchback,580000,Honda Brio
Honda,Mobilio,2016,Gasoline,Automatic,"40,000",1.5,MPV,520000,Honda Mobilio
Toyota,Fortuner,2016,Gasoline,Automatic,"30,000",2.7,SUV,920000,Toyota Fortuner
Honda,Civic,2012,Gasoline,Automatic,"80,000",1.8,Sedan,390000,Honda Civic
Honda,HR-V,2015,Gasoline,Automatic,"60,000",1.8,Crossover,590000,Honda HR-V
Toyota,Veloz,2024,Gasoline,Automatic,"1,000",1.5,SUV,1120000,Toyota Veloz
Toyota,Fortuner,2018,Diesel,Automatic,"40,000",2.4,SUV,1130000,Toyota Fortuner
Toyota,Fortuner,2019,Gasoline,Automatic,"90,000",2.7,SUV,995000,Toyota Fortuner
Suzuki,Ertiga,2019,Gasoline,Manual,"40,000",1.5,MPV,505000,Suzuki Ertiga
