key,make,model,fuel_type,transmission,body_type,make_year,ext_make_year,kms_driven,engine_size,resale_price,srp,no_sc_mmnl
Suzuki Jimny,Suzuki,Jimny,Gasoline,Manual,Suv,2005,2024,39000.0,1.33,435000.0,1258000.0,9
Suzuki Jimny,Suzuki,Jimny,Gasoline,Automatic,Suv,2006,2024,230000.0,1.46,570000.0,1258000.0,9
Suzuki Jimny,Suzuki,Jimny,Gasoline,Automatic,Suv,2018,2024,80000.0,1.46,718000.0,1258000.0,9
Suzuki Jimny,Suzuki,Jimny,Gasoline,Manual,Suv,2020,2024,1.0,1.46,1128000.0,1258000.0,9
Suzuki Jimny,Suzuki,Jimny,Gasoline,Manual,Suv,2022,2024,85000.0,1.46,1150000.0,1258000.0,9
Suzuki Jimny,Suzuki,Jimny,Gasoline,Automatic,Suv,2020,2024,28000.0,1.46,1200000.0,1258000.0,9
Suzuki Celerio,Suzuki,Celerio,Gasoline,Automatic,Hatchback,2016,2024,50000.0,1.0,360000.0,708000.0,9
Suzuki Celerio,Suzuki,Celerio,Gasoline,Cvt,Hatchback,2021,2024,12000.0,1.0,60000.0,708000.0,9
Suzuki Celerio,Suzuki,Celerio,Gasoline,Amt,Hatchback,2016,2024,90000.0,1.0,265000.0,708000.0,9
Suzuki Celerio,Suzuki,Celerio,Gasoline,Cvt,Hatchback,2019,2024,50000.0,1.0,300000.0,708000.0,9
Suzuki Celerio,Suzuki,Celerio,Gasoline,Cvt,Hatchback,2016,2024,60000.0,1.0,370000.0,708000.0,9
Suzuki Dzire,Suzuki,Dzire,Gasoline,Automatic,Sedan,2023,2024,6000.0,1.2,495000.0,609000.0,9
Suzuki Carry,Suzuki,Carry,Gasoline,Manual,Pickup-trucks,2019,2024,30000.0,1.5,220000.0,614000.0,9
Suzuki Carry,Suzuki,Carry,Gasoline,Manual,Pickup-trucks,2013,2024,259046.0,1.5,300000.0,614000.0,9
Suzuki Carry,Suzuki,Carry,Gasoline,Manual,Pickup-trucks,2021,2024,15000.0,1.5,515000.0,614000.0,9
Suzuki Carry,Suzuki,Carry,Gasoline,Manual,Pickup-trucks,2021,2024,25000.0,1.5,550000.0,614000.0,9
Ford Everest,Ford,Everest,Diesel,Automatic,SUV,2017,2024,60000.0,2.2,930000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,SUV,2020,2024,40000.0,2.0,1320000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,SUV,2016,2024,60000.0,3.2,990000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,SUV,2018,2024,40000.0,3.2,1190000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,SUV,2018,2024,40000.0,2.2,1080000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,SUV,2017,2024,50000.0,2.2,940000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,SUV,2018,2024,40000.0,2.2,905000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,SUV,2018,2024,40000.0,2.2,1020000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,SUV,2019,2024,80000.0,2.0,1190000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,SUV,2016,2024,50000.0,2.2,755000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,SUV,2017,2024,63000.0,2.2,798000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,SUV,2016,2024,56000.0,2.2,778000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,SUV,2018,2024,100000.0,2.2,950000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Manual,Suv,2018,2024,45000.0,2.2,825000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,Suv,2016,2024,1.0,2.2,830000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,Suv,2016,2024,45000.0,2.0,850000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,Suv,2005,2024,155000.0,2.0,280000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,Suv,2005,2024,129000.0,2.5,319000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Manual,Suv,2003,2024,178000.0,2.5,320000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,Suv,2006,2024,115000.0,2.2,350000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,Suv,2009,2024,60000.0,2.5,358000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,Suv,2010,2024,1.0,2.2,480000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,Suv,2013,2024,60000.0,2.5,510000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,Suv,2012,2024,70000.0,2.5,510000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,Suv,2014,2024,70000.0,2.0,530000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Manual,Suv,2014,2024,1.0,2.5,530000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,Suv,2013,2024,95000.0,2.0,690000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,Suv,2012,2024,70000.0,2.0,700000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,Suv,2013,2024,95000.0,2.0,690000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,Suv,2012,2024,70000.0,2.0,700000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,Suv,2017,2024,75000.0,2.0,730000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,Suv,2016,2024,90000.0,2.2,780000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,Suv,2016,2024,30000.0,2.0,800000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,Suv,2016,2024,88000.0,2.0,800000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Manual,Suv,2018,2024,45000.0,2.2,825000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,Suv,2016,2024,1.0,2.2,830000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,Suv,2016,2024,45000.0,2.0,850000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,Suv,2016,2024,78000.0,2.2,888000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Manual,Suv,2017,2024,60000.0,2.2,890000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,Suv,2018,2024,35000.0,2.0,890000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,Suv,2016,2024,39000.0,2.2,898000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,Suv,2016,2024,72000.0,2.2,945000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,Suv,2016,2024,88889.0,2.0,950000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,Suv,2018,2024,22000.0,2.2,950000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,Suv,2018,2024,25000.0,2.0,950000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,Suv,2017,2024,50000.0,2.0,970000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,Suv,2018,2024,40000.0,2.0,976000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,Suv,2016,2024,75000.0,2.2,998000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,Suv,2017,2024,48000.0,2.2,1000000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,Suv,2016,2024,60000.0,2.2,1028000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,Suv,2018,2024,14000.0,2.2,1050000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,Suv,2016,2024,71000.0,2.0,1050000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,Suv,2016,2024,1.0,3.2,1050000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,Suv,2017,2024,30000.0,2.2,1070000.0,1799000.0,2
