,model,price,registration_year,make_year,fuel_type,body_type,kms_driven,ownership,transmission,city,seats,engine_displacement
0,1990 Nissan Sentra 1.6L SGX MT Detail,"₱45,000 ",1990,1990,Gasoline,Sedan,"61,233 Km",First Owner,Manual,Quezon City,,
1,2021 Suzuki Celerio CVT 1.0L Detail,"₱60,000 ",2024,2021,Gasoline,Hatchback,"12,000 Km",First Owner,Cvt,Pasig,5 seat,998 CC
2,1994 Nissan Vanette 2.0L Vanette MT Detail,"₱70,000 ",2023,1994,Gasoline,Van,"84,710 Km",Second Owner,Manual,Quezon City,,
3,2000 Nissan Sentra 1.6L Super Saloon MT Detail,"₱70,000 ",2024,2000,Gasoline,Sedan,"150,000 Km",Second Owner,Manual,Mandaluyong City,,
4,1997 Mazda 3 Sedan 2.0L Premium Detail,"₱75,000 ",2019,1997,Gasoline,Sedan,"90,000 Km",Third Owner,Automatic,san-fernando,5 seat,1998 CC
5,2016 Tata Indigo 1.4L Diesel Detail,"₱75,000 ",2016,2016,Diesel,Sedan,"109,000 Km",First Owner,Manual,Cebu City,5 seat,1405 CC
6,1997 Mitsubishi Lancer 1.6L GLXI Limited AT Detail,"₱75,000 ",2019,1997,Gasoline,Sedan,"200,000 Km",Third Owner,Automatic,Tanza,,
7,1993 Honda Civic 1.6L ESI MT Detail,"₱80,000 ",2023,1993,Gasoline,Sedan,"10,000 Km",Second Owner,Manual,Tarlac City,,
8,1994 Honda Civic S Turbo CVT Honda Sensing Detail,"₱90,000 ",2020,1994,Gasoline,Sedan,"50,000 Km",Second Owner,Cvt,san-mateo,5 seat,1498 CC
9,2010 Nissan Sentra 1.3L GX MT Detail,"₱100,000 ",2010,2010,Gasoline,Sedan,"300,000 Km",Second Owner,Manual,Bacoor,,
10,1994 Toyota RAV 4 2.5L LE AT Detail,"₱100,000 ",2015,1994,Gasoline,Suv,"70,000 Km",Second Owner,Automatic,"Mabini, Batangas",,
0,1993 Toyota Corona 2.0L EX Saloon MT Detail,"₱115,000 ",1993.0,1993,Gasoline,Sedan,"120,000 Km",Second Owner,Manual,Cavite City,,
1,2005 Ford Focus Sedan 1.8L Ghia AT Detail,"₱120,000 ",2018.0,2005,Gasoline,Sedan,"100,000 Km",Third Owner,Automatic,Cainta,,
2,1997 Toyota Corolla 1.6L GLI AT Detail,"₱130,000 ",1997.0,1997,Gasoline,Sedan,"80,000 Km",Second Owner,Automatic,Bacoor,,
3,2000 Honda Civic 1.8 S CVT Detail,"₱135,000 ",2000.0,2000,Gasoline,Sedan,"120,000 Km",Third Owner,Cvt,Alaminos,5 seat,1799 CC
4,1996 Mazda E2000 2.0 MT Detail,"₱140,000 ",1996.0,1996,Gasoline,Van,"120,000 Km",First Owner,Manual,Lipa City,,
5,2020 Hyundai Reina GL 4AT Detail,"₱146,077 ",,2020,Gasoline,Sedan,"30,000 Km",First Owner,Automatic,Antipolo,5 seat,1368 CC
6,2006 Honda City Hatchback RS CVT Detail,"₱150,000 ",2023.0,2006,Gasoline,Hatchback,150 Km,Second Owner,Cvt,Butuan,5 seat,1498 CC
7,1994 Nissan Bluebird 2.0 MT Detail,"₱150,000 ",2024.0,1994,Gasoline,Sedan,"100,000 Km",Second Owner,Manual,Antipolo,,
0,2019 Toyota Rush 1.5 G GR-S A/T Detail,"₱810,000 ",,2019,Gasoline,Suv,"90,000 Km",First Owner,Automatic,Las Piñas,7 seat,1496 CC
1,2015 Isuzu mu-X 3.0 4x2 LS-A AT Detail,"₱810,000 ",,2015,Diesel,Suv,"60,000 Km",First Owner,Automatic,Las Piñas,7 seat,2999 CC
2,2019 Toyota Rush 1.5 E AT Detail,"₱815,000 ",2023,2019,Gasoline,Suv,"35,000 Km",First Owner,Automatic,Paranaque,7 seat,1496 CC
3,2016 Isuzu mu-X 3.0 LS-A 4x2 AT Detail,"₱818,000 ",2016,2016,Diesel,Suv,"51,000 Km",First Owner,Automatic,Lapu-Lapu City,7 seat,2999 CC
4,2016 Toyota Innova 2.5L G AT Detail,"₱820,000 ",2016,2016,Diesel,Mpv,"60,000 Km",First Owner,Automatic,Pasig,8 seat,2494 CC
5,2017 Subaru XV 2.0i-S Detail,"₱820,000 ",,2017,Gasoline,Crossover,,First Owner,Cvt,Quezon City,5 seat,1995 CC
6,2008 Mitsubishi Pajero GLS 3.2 Di-D 4WD AT Detail,"₱820,000 ",,2008,Diesel,Suv,,First Owner,Automatic,Quezon City,7 seat,3198 CC
7,2018 Nissan NP300 Navara 2.5L 4x2 EL 6MT Calibre Detail,"₱820,000 ",,2018,Diesel,Pickup-trucks,,First Owner,Manual,Quezon City,5 seat,2488 CC
8,2018 Mitsubishi Strada 2.4 GLS AT Detail,"₱820,000 ",,2018,Diesel,Pickup-trucks,"60,000 Km",First Owner,Automatic,Pili,,
9,2016 Isuzu mu-X 3.0 4x2 LS-A AT Detail,"₱820,000 ",2016,2016,Diesel,Suv,"120,000 Km",First Owner,Automatic,Taguig,7 seat,2999 CC
10,2018 Ford Everest Ambiente 2.2L4x2 MT Detail,"₱825,000 ",2018,2018,Diesel,Suv,"45,000 Km",First Owner,Manual,Quezon City,7 seat,2199 CC
11,2019 Mitsubishi Xpander GLS 1.5G 2WD AT Detail,"₱828,000 ",2019,2019,Gasoline,Mpv,"7,000 Km",First Owner,Automatic,Marikina City,7 seat,1499 CC
12,2016 Chevrolet Trailblazer 2.8 6AT 4X2 LTX Detail,"₱828,000 ",2016,2016,Diesel,Suv,"32,000 Km",First Owner,Automatic,Quezon City,7 seat,2776 CC
13,2018 Nissan Urvan 15 Seater SHUTTLE Detail,"₱828,000 ",2018,2018,Diesel,Van,"30,000 Km",First Owner,Manual,Bacolod City,15 seat,2663 CC
14,2019 Mitsubishi Xpander GLX Plus 1.5G 2WD AT Detail,"₱828,000 ",,2019,Gasoline,Mpv,1 Km,First Owner,Automatic,Quezon City,7 seat,1499 CC
15,2019 Mitsubishi Xpander GLS 1.5G 2WD AT Detail,"₱828,000 ",2019,2019,Gasoline,Mpv,"14,000 Km",First Owner,Automatic,Bacolod City,7 seat,1499 CC
16,2019 Mitsubishi Xpander GLS 1.5G 2WD AT Detail,"₱828,000 ",2019,2019,Gasoline,Mpv,"15,000 Km",First Owner,Automatic,Bacolod City,7 seat,1499 CC
17,2021 Foton View Transvan 2.8L MT Detail,"₱828,000 ",2021,2021,Diesel,Van,"4,000 Km",First Owner,Manual,Quezon City,15 seat,2800 CC
18,2018 Nissan NV350 Urvan Standard 15-Seater Detail,"₱828,000 ",2018,2018,Diesel,Minivans,"30,000 Km",First Owner,Manual,Bacolod City,15 seat,2488 CC
19,2015 Isuzu mu-X 3.0 4x2 LS-A AT Detail,"₱828,000 ",2015,2015,Diesel,Suv,"62,000 Km",First Owner,Automatic,Quezon City,7 seat,2999 CC
20,2017 Honda BR-V 1.5L S AT Detail,"₱830,000 ",2017,2017,Gasoline,Suv,"10,000 Km",First Owner,Automatic,Manila,,
21,2018 Toyota Rush 1.5 G GR-S A/T Detail,"₱830,000 ",2018,2018,Gasoline,Suv,"46,000 Km",First Owner,Automatic,Mandaue City,7 seat,1496 CC
22,2017 Mitsubishi Montero Sport GLX 2WD 2.4D MT Detail,"₱830,000 ",2023,2017,Diesel,Suv,"70,000 Km",First Owner,Manual,Antipolo,7 seat,2442 CC
23,2016 Ford Everest 2.2L Trend AT Detail,"₱830,000 ",2016,2016,Diesel,Suv,1 Km,First Owner,Automatic,"Talisay City, Cebu",,2198 CC
24,2013 Toyota Hilux 2.8 G DSL 4x4 A/T Detail,"₱830,000 ",,2013,Diesel,Pickup-trucks,"90,000 Km",First Owner,,Las Piñas,,
25,2018 Toyota Rush 1.5 G GR-S A/T Detail,"₱830,000 ",,2018,Gasoline,Suv,"300,001 Km",First Owner,Automatic,Las Piñas,7 seat,1496 CC
26,2013 Toyota Hilux 2.5 G 4x2 MT Detail,"₱830,000 ",,2013,Diesel,Pickup-trucks,,First Owner,Manual,Taal,5 seat,2494 CC
27,2018 Nissan NV350 Urvan Premium M/T 15-Seater Detail,"₱830,000 ",,2018,Diesel,Minivans,"40,000 Km",First Owner,Manual,Las Piñas,15 seat,2488 CC
28,2019 Nissan NP300 Navara 2.5L 4x2 EL 7AT Calibre Detail,"₱830,000 ",2019,2019,Diesel,Pickup-trucks,"60,000 Km",First Owner,Automatic,Manila,5 seat,2488 CC
29,2019 Honda BR-V 1.5L V AT Detail,"₱838,000 ",,2019,Gasoline,Suv,"15,000 Km",First Owner,Automatic,Quezon City,,
30,2019 Chevrolet Colorado 2.5L 4X2 MT LT Detail,"₱838,000 ",2019,2019,Diesel,Pickup-trucks,1 Km,First Owner,Manual,Lapu-Lapu City,5 seat,2499 CC
31,2008 Chevrolet Suburban 4X2 LT Detail,"₱838,000 ",,2008,Gasoline,Suv,,First Owner,Automatic,Cavite City,8 seat,5328 CC
32,2020 Ford Ranger 2.0L Turbo XLS 4x2 MT Detail,"₱838,000 ",2024,2020,Diesel,Pickup-trucks,"30,000 Km",Second Owner,Manual,Antipolo,5 seat,1996 CC
33,2018 Chevrolet Trailblazer 2.8 6AT 4X2 LT Detail,"₱840,000 ",,2018,Diesel,Suv,"90,000 Km",First Owner,Automatic,Las Piñas,7 seat,2776 CC
34,2021 Ford Territory Titanium Plus Detail,"₱840,000 ",2023,2021,Gasoline,Crossover,"45,000 Km",First Owner,Cvt,Imus,5 seat,1490 CC
35,2016 Mitsubishi Montero Sport GLX 2WD 2.4D MT Detail,"₱840,000 ",2016,2016,Diesel,Suv,"45,000 Km",First Owner,Manual,Batangas,7 seat,2442 CC
36,2015 Toyota Fortuner 2.4 G Diesel 4x2 MT Detail,"₱840,000 ",2015,2015,Diesel,Suv,"55,000 Km",First Owner,Manual,Tarlac City,7 seat,2393 CC
37,2018 Subaru XV 2.0i-S EyeSight Detail,"₱840,000 ",2023,2018,Gasoline,Suv,"100,000 Km",First Owner,Cvt,Imus,5 seat,1995 CC
38,2017 Mitsubishi Montero Sport GLX 2WD 2.4D MT Detail,"₱840,000 ",2018,2017,Diesel,Suv,"93,000 Km",First Owner,Manual,Cebu City,7 seat,2442 CC
39,2022 Toyota Rush 1.5 G GR-S A/T Detail,"₱840,000 ",2022,2022,Gasoline,Suv,"25,000 Km",Second Owner,Automatic,Bulacan,7 seat,1496 CC
40,2015 Toyota Fortuner 2.4 G Diesel 4x2 AT Detail,"₱841,000 ",2023,2015,Diesel,Suv,"39,000 Km",First Owner,Automatic,Tarlac City,7 seat,2393 CC
41,2014 Hyundai Starex 2.5L SVX AT Detail,"₱845,000 ",2014,2014,Diesel,Van,"26,000 Km",First Owner,Automatic,Pasig,,
42,2019 Suzuki Vitara 1.6L AT Detail,"₱848,000 ",,2019,Gasoline,Suv,1 Km,First Owner,Automatic,Pasig,,1598 CC
43,2017 Nissan NP300 Navara 2.5L EL MT 4x2 Detail,"₱848,000 ",2017,2017,Diesel,Pickup-trucks,"35,000 Km",First Owner,Manual,Paranaque,5 seat,2488 CC
44,2018 Nissan NP300 Navara 2.5L 4x2 EL 7AT Calibre Detail,"₱848,000 ",2018,2018,Diesel,Pickup-trucks,"50,000 Km",First Owner,Automatic,Quezon City,5 seat,2488 CC
45,2016 Toyota Hilux 2.4 E DSL 4x2 M/T Detail,"₱848,000 ",,2016,Diesel,Pickup-trucks,"56,000 Km",First Owner,Manual,Quezon City,5 seat,2393 CC
46,2021 Honda Civic 1.8L V AT Detail,"₱849,000 ",2021,2021,Gasoline,Sedan,"24,000 Km",First Owner,Automatic,Pasig,,
47,2017 Hyundai Tucson 2.0L AT FWD Dsl Detail,"₱850,000 ",,2017,Diesel,Suv,"32,000 Km",First Owner,Automatic,Pasay,,1998 CC
48,2020 Hyundai H-100 2.5 MT Detail,"₱850,000 ",,2020,Diesel,Minivans,"11,000 Km",First Owner,Manual,Marikina City,,2498 CC
49,2018 Kia Soul 1.6L LX MT Detail,"₱850,000 ",2018,2018,Diesel,Hatchback,"32,000 Km",First Owner,Manual,Subic,,
50,2018 Hyundai H-100 2.6 GL 5M/T (Dsl-With AC) Detail,"₱850,000 ",2021,2018,Diesel,Pickup-trucks,"20,000 Km",First Owner,Manual,Quezon City,,2607 CC
51,2014 Chevrolet Trailblazer LT Detail,"₱850,000 ",2022,2014,Gasoline,Suv,"90,000 Km",First Owner,Cvt,Pasig,5 seat,1341 CC
52,2017 Toyota Hiace 3.0L Commuter MT Detail,"₱850,000 ",2022,2017,Diesel,Van,"65,000 Km",Second Owner,Manual,Olongapo City,15 seat,2982 CC
53,2018 Toyota Innova 2.8L E MT Detail,"₱850,000 ",2023,2018,Diesel,Mpv,"70,000 Km",First Owner,Manual,Tubigon,,
54,2019 Mitsubishi Xpander GLS Sport 1.5G 2WD AT Detail,"₱850,000 ",2019,2019,Gasoline,Mpv,1 Km,First Owner,Automatic,"Talisay City, Cebu",7 seat,1499 CC
55,2015 Isuzu mu-X 3.0 LS-A 4x4 AT Detail,"₱850,000 ",,2015,Diesel,Suv,"60,000 Km",First Owner,Automatic,Las Piñas,7 seat,2999 CC
56,2019 Toyota Rush 1.5 G GR-S A/T Detail,"₱850,000 ",,2019,Gasoline,Suv,"200,001 Km",First Owner,Automatic,Las Piñas,7 seat,1496 CC
57,2017 Toyota Innova 2.8L E AT Detail,"₱850,000 ",,2017,Diesel,Mpv,"53,000 Km",First Owner,Automatic,Pasay,8 seat,2755 CC
58,2015 Isuzu mu-X LS-A RWD AT Detail,"₱850,000 ",,2015,Diesel,Suv,,First Owner,Automatic,Pasay,,2498 CC
59,2016 Subaru Levorg 1.6 GT Detail,"₱850,000 ",2016,2016,Gasoline,Station-wagon,"55,000 Km",First Owner,Automatic,Manila,8 seat,1600 CC
60,2018 Subaru Forester 2.0i-Premium Detail,"₱850,000 ",2018,2018,Gasoline,Suv,"32,000 Km",First Owner,Automatic,Quezon City,5 seat,1995 CC
61,2021 Ford Territory Titanium Detail,"₱850,000 ",2023,2021,Gasoline,Suv,"59,000 Km",First Owner,Automatic,Cabanatuan City,5 seat,1499 CC
62,2018 Ford Ranger 2.2 FX4 AT Detail,"₱850,000 ",,2018,Diesel,Pickup-trucks,"45,000 Km",First Owner,Automatic,Lumban,5 seat,2198 CC
63,2019 Foton Transvan HR 15 Seater Detail,"₱850,000 ",2023,2019,Diesel,Van,"55,000 Km",Third Owner,Manual,Cainta,15 seat,2771 CC
64,2020 Toyota Rush 1.5 G GR-S A/T Detail,"₱850,000 ",2023,2020,Gasoline,Suv,"55,000 Km",First Owner,Automatic,Cavite City,7 seat,1496 CC
65,2020 Isuzu Traviz L Detail,"₱850,000 ",2024,2020,Diesel,Van,"3,200 Km",First Owner,Manual,Valenzuela,3 seat,2499 CC
66,2016 Ford Everest 2.0L Turbo Titanium Plus 4x2 AT Detail,"₱850,000 ",2016,2016,Diesel,Suv,"45,000 Km",First Owner,Automatic,Pasig,7 seat,1996 CC
67,2018 Nissan NV350 Urvan Standard 15-Seater Detail,"₱850,000 ",,2018,Diesel,Minivans,,First Owner,Manual,Quezon City,15 seat,2488 CC
0,2009 Hyundai Accent 1.5 GL CRDi MT Detail,"₱210,000 ",,2009,Diesel,Sedan,,First Owner,Manual,Mandaluyong City,,
1,2001 Honda CR-V RS eHEV Detail,"₱210,000 ",2014.0,2001,Hybrid,Suv,"120,000 Km",Second Owner,E-cvt,Davao City,5 seat,1993 CC
2,2014 Mitsubishi Mirage 1.2 MT Detail,"₱210,000 ",2023.0,2014,Gasoline,Hatchback,"60,000 Km",First Owner,Manual,Antipolo,5 seat,1193 CC
3,2003 Toyota Camry 2.4 V AT Detail,"₱215,000 ",2004.0,2003,Gasoline,Sedan,"35,000 Km",First Owner,Automatic,Quezon City,,
4,2011 Hyundai  Getz 1.1 GL MT Detail,"₱220,000 ",,2011,Gasoline,Hatchback,"54,000 Km",First Owner,Manual,Marikina City,,
5,2008 Honda City 1.3L S MT Detail,"₱220,000 ",2008.0,2008,Gasoline,Sedan,"90,000 Km",Second Owner,Manual,Manila,,1298 CC
6,2019 Suzuki Carry Cab and Chasis 1.5L Detail,"₱220,000 ",2023.0,2019,Gasoline,Pickup-trucks,"30,000 Km",First Owner,Manual,Manila,2 seat,1462 CC
7,2003 Honda CR-V 2.4L AT Detail,"₱220,000 ",2003.0,2003,Gasoline,Suv,"100,000 Km",First Owner,Automatic,Cebu City,,
8,2008 Toyota Vios 1.5 G CVT Detail,"₱220,000 ",2008.0,2008,Gasoline,Sedan,"115,000 Km",Second Owner,Cvt,Antipolo,5 seat,1496 CC
9,2012 Ford Fiesta Sedan 1.5L Trend AT Detail,"₱220,000 ",2012.0,2012,Gasoline,Sedan,"102,000 Km",Second Owner,Automatic,Quezon City,5 seat,1498 CC
10,2016 Tata Super Ace Mint Dual A/C Detail,"₱224,000 ",2016.0,2016,Diesel,Pickup-trucks,"73,000 Km",First Owner,Manual,Cebu City,2 seat,1396 CC
11,2008 Hyundai i10 1.1L GL A-T Detail,"₱230,000 ",,2008,Gasoline,Hatchback,1 Km,First Owner,Automatic,Quezon City,5 seat,1086 CC
12,2003 Toyota Camry 2.4 V AT Detail,"₱230,000 ",,2003,Gasoline,Sedan,,First Owner,Automatic,Paranaque,,
13,2005 Mitsubishi Galant 2.0L GT-A AT Detail,"₱235,000 ",2005.0,2005,Gasoline,Sedan,"120,000 Km",Second Owner,Automatic,Bacoor,,
14,2010 Mazda CX-7 2.5 AT Detail,"₱235,000 ",2024.0,2010,Gasoline,Suv,"97,000 Km",First Owner,Automatic,Paranaque,,2499 CC
15,2012 Hyundai Eon 0.8 GLX 5 M/T Detail,"₱235,500 ",2013.0,2012,Gasoline,Hatchback,"30,000 Km",First Owner,Manual,Quezon City,5 seat,814 CC
16,2015 Hyundai Eon 0.8 GLX 5 M/T Detail,"₱238,000 ",,2015,Gasoline,Hatchback,"69,000 Km",First Owner,Manual,Tigaon,5 seat,814 CC
17,2012 Chevrolet Spark 1.0 LS AT Detail,"₱238,000 ",,2012,Gasoline,Hatchback,"100,000 Km",First Owner,Automatic,Mandaluyong City,5 seat,995 CC
18,2001 Honda Accord 2.0L i-VTEC Detail,"₱240,000 ",2001.0,2001,Gasoline,Sedan,1 Km,First Owner,Cvt,Mandaue City,5 seat,1998 CC
19,2004 Toyota Corolla Altis 1.8 E CVT Detail,"₱240,000 ",2004.0,2004,Gasoline,Sedan,"115,000 Km",Second Owner,Cvt,Quezon City,5 seat,1798 CC
20,2011 Ford Focus Sedan 1.8L Trend MT Detail,"₱240,000 ",2011.0,2011,Gasoline,Sedan,"65,000 Km",First Owner,Manual,Quezon City,,
21,2015 Kia Picanto 1.2 EX AT Detail,"₱240,000 ",2015.0,2015,Gasoline,Hatchback,"50,000 Km",Second Owner,Automatic,Caloocan City,5 seat,1248 CC
22,2005 Honda City 1.5L V AT Detail,"₱240,000 ",,2005,Gasoline,Sedan,"84,000 Km",First Owner,Automatic,Quezon City,,
23,2002 Toyota Corolla Altis 1.8 G GR-S CVT Detail,"₱240,000 ",2020.0,2002,Gasoline,Sedan,"165,000 Km",Second Owner,Cvt,Guagua,5 seat,1798 CC
24,2007 Mitsubishi Galant 2.4L 240M AT Detail,"₱245,000 ",2007.0,2007,Gasoline,Sedan,"116,000 Km",First Owner,Automatic,Quezon City,,
25,2016 Hyundai Eon 0.8 GLX 5 M/T Detail,"₱245,000 ",2016.0,2016,Gasoline,Hatchback,"80,000 Km",First Owner,Manual,Cebu City,5 seat,814 CC
26,2008 Nissan Teana 2.3 230JM AT Detail,"₱248,000 ",,2008,Gasoline,Sedan,"90,000 Km",First Owner,,Mandaluyong City,,
27,2000 Ford Expedition 3.5L Limited AT Detail,"₱250,000 ",,2000,Gasoline,Suv,1 Km,First Owner,Automatic,Pasay,,
28,1999 Ford E-150 4.6L Chateau AT Detail,"₱250,000 ",,1999,Gasoline,Van,1 Km,First Owner,Automatic,Pasay,,
29,2005 Nissan X-Trail 2.0L 200X AT Detail,"₱250,000 ",2005.0,2005,Gasoline,Suv,"85,000 Km",Second Owner,Automatic,Pasay,,1998 CC
30,2006 Ford Focus Sedan 1.6L Trend MT Detail,"₱250,000 ",2022.0,2006,Gasoline,Sedan,"141,000 Km",First Owner,Manual,Imus,,
31,2003 Subaru Forester 2.0i-L Detail,"₱250,000 ",2005.0,2003,Gasoline,Suv,"250,000 Km",Second Owner,Cvt,Quezon City,5 seat,1995 CC
32,2003 Honda CR-V 2.0L S AT Detail,"₱250,000 ",2003.0,2003,Gasoline,Suv,1 Km,First Owner,Automatic,Mandaue City,,
33,2001 Mitsubishi Adventure 2.0L GLS Sport MT Detail,"₱250,000 ",2001.0,2001,Gasoline,Mpv,"90,000 Km",First Owner,Manual,Mandaue City,,1998 CC
34,2012 Mazda 2 Sedan 1.3L Detail,"₱250,000 ",2023.0,2012,Gasoline,Sedan,"103,000 Km",Second Owner,Manual,"San Juan, Metro Manila",,
35,2013 Mitsubishi Mirage 1.2 MT Detail,"₱250,000 ",2013.0,2013,Gasoline,Hatchback,"110,000 Km",Second Owner,Manual,Batangas,5 seat,1193 CC
36,2006 Hyundai Starex 2.5L GRX AT Detail,"₱250,000 ",2006.0,2006,Diesel,Van,"120,000 Km",Third Owner,Manual,Dasmariñas,,
37,2004 Honda Civic V Turbo CVT Honda Sensing Detail,"₱250,000 ",2004.0,2004,Gasoline,Sedan,"125,300 Km",Second Owner,Cvt,Binan,5 seat,1498 CC
38,2005 Honda CR-V 2.4L AT Detail,"₱250,000 ",2010.0,2005,Gasoline,Suv,"55,000 Km",Third Owner,Automatic,Quezon City,,
0,2014 Toyota Hiace 2.5L Commuter MT Detail,"₱252,240 ",,2014,Diesel,Van,"78,000 Km",First Owner,Manual,Antipolo,,
1,2004 Honda Civic V Turbo CVT Honda Sensing Detail,"₱255,000 ",2022.0,2004,Gasoline,Sedan,"120,000 Km",Second Owner,Cvt,Quezon City,5 seat,1498 CC
2,2004 Ford Escape 2.0L XLS AT Detail,"₱258,000 ",2004.0,2004,Gasoline,Suv,"68,000 Km",First Owner,Automatic,Quezon City,,
3,2016 Hyundai Eon 0.8 GLX 5 M/T Detail,"₱259,000 ",2016.0,2016,Gasoline,Hatchback,"50,000 Km",First Owner,Manual,Nasugbu,5 seat,814 CC
4,2010 Mitsubishi Galant 2.4L SE AT Detail,"₱260,000 ",2010.0,2010,Gasoline,Sedan,"50,000 Km",Second Owner,Automatic,Dagupan,,
5,2009 Toyota Corolla Altis 1.6 G CVT Detail,"₱260,000 ",2009.0,2009,Gasoline,Sedan,"105,000 Km",First Owner,Cvt,Quezon City,5 seat,1598 CC
6,2004 BMW 318i 1.8L RWD Detail,"₱265,000 ",2020.0,2004,Gasoline,Sedan,"100,000 Km",Second Owner,Automatic,Quezon City,,
7,2006 Toyota Corolla Altis 1.6 E MT Detail,"₱265,000 ",,2006,Gasoline,Sedan,"97,976 Km",First Owner,Manual,Bacoor,,
8,2012 Ford Focus Hatchback 2.0L Sport Diesel AT Detail,"₱265,000 ",2023.0,2012,Diesel,Hatchback,"95,000 Km",First Owner,Automatic,Marilao,,1998 CC
9,2016 Suzuki Celerio 1.0L GL AGS Detail,"₱265,000 ",2023.0,2016,Gasoline,Hatchback,"90,000 Km",First Owner,Amt,Manila,5 seat,998 CC
10,2000 Ford E-150 4.6L Club Wagon AT Detail,"₱268,000 ",2000.0,2000,Gasoline,Van,"112,000 Km",First Owner,Automatic,Lapu-Lapu City,,
11,2007 Hyundai Tucson 2.0L MT FWD Detail,"₱268,000 ",2007.0,2007,Gasoline,Suv,1 Km,First Owner,Manual,Lapu-Lapu City,,1998 CC
12,2017 Chevrolet Sail 1.3 LT MT Detail,"₱268,000 ",,2017,Gasoline,Sedan,,First Owner,Manual,Cavite City,5 seat,1349 CC
13,2012 Ford Fiesta Hatchback 1.5L Sport AT Detail,"₱268,000 ",,2012,Gasoline,Hatchback,,First Owner,Automatic,Cavite City,,
14,2009 Mitsubishi Lancer 1.6L GLS AT Detail,"₱270,000 ",2009.0,2009,Gasoline,Sedan,"90,000 Km",First Owner,Automatic,Mandaue City,,
15,2013 Mitsubishi Mirage GLX MT Detail,"₱270,000 ",2013.0,2013,Gasoline,Hatchback,1 Km,First Owner,Manual,"Talisay City, Cebu",,
16,2010 Chevrolet Cruze LT AT Detail,"₱270,000 ",2010.0,2010,Gasoline,Sedan,"42,000 Km",First Owner,Automatic,Cebu City,5 seat,1796 CC
17,2017 Hyundai Accent 1.4 GL 6MT w/o Airbags Detail,"₱270,000 ",2017.0,2017,Gasoline,Sedan,"71,541 Km",Second Owner,Manual,Quezon City,5 seat,1368 CC
18,2009 Hyundai Tucson 2.0L CRDi GLS AT Detail,"₱270,000 ",2011.0,2009,Diesel,Suv,"95,000 Km",Third Owner,Automatic,Santa Marcela,5 seat,1998 CC
19,2013 Nissan Almera VE Turbo CVT Detail,"₱270,000 ",2022.0,2013,Gasoline,Sedan,"115,000 Km",First Owner,Cvt,Antipolo,5 seat,998 CC
20,2006 Honda Civic S Turbo CVT Honda Sensing Detail,"₱270,000 ",2023.0,2006,Gasoline,Sedan,"110,000 Km",Second Owner,Cvt,Quezon City,5 seat,1498 CC
21,2017 Foton Gratour Minivan Detail,"₱275,000 ",2017.0,2017,Gasoline,Minivans,"28,000 Km",First Owner,Manual,Quezon City,8 seat,1500 CC
22,2006 Hyundai Santa Fe 2.2L GLS AT Detail,"₱275,000 ",2022.0,2006,Diesel,Suv,"192,000 Km",Third Owner,Automatic,Butuan,7 seat,2151 CC
23,2014 Toyota Vios 1.3 J MT Detail,"₱275,000 ",2014.0,2014,Gasoline,Sedan,"143,117 Km",First Owner,Manual,Antipolo,,1293 CC
24,2017 Suzuki Alto 800 STD 0.8L MT Detail,"₱275,000 ",2017.0,2017,Gasoline,Hatchback,"45,000 Km",First Owner,Manual,Angeles City,5 seat,796 CC
25,2017 Kia Picanto 1.2 EX MT Detail,"₱278,000 ",2023.0,2017,Gasoline,Hatchback,"47,000 Km",Second Owner,Manual,Cagayan de Oro,5 seat,1248 CC
26,2007 Toyota Corolla Altis 1.6L J MT Detail,"₱280,000 ",,2007,Gasoline,Sedan,1 Km,First Owner,Manual,Pasay,,
27,2005 Hyundai Starex 2.5L GRX AT Detail,"₱280,000 ",2005.0,2005,Diesel,Van,1 Km,First Owner,Manual,Mandaue City,,
28,2004 Honda Accord 2.0L i-VTEC Detail,"₱280,000 ",2008.0,2004,Gasoline,Sedan,"170,000 Km",Third Owner,Cvt,Pasig,5 seat,1998 CC
29,2005 Ford Everest 2.0L Turbo Trend 4x2 AT Detail,"₱280,000 ",2023.0,2005,Diesel,Suv,"155,000 Km",Second Owner,Automatic,Calaca,7 seat,1996 CC
30,2009 Hyundai Tucson 2.0L GLS AT Detail,"₱280,000 ",2023.0,2009,Gasoline,Suv,"111,542 Km",Second Owner,Automatic,Lapu-Lapu City,5 seat,1999 CC
31,2008 Toyota Corolla Altis 1.6 V CVT Detail,"₱280,000 ",2023.0,2008,Gasoline,Sedan,"139,000 Km",Second Owner,Cvt,Quezon City,5 seat,1598 CC
32,2013 Ford Focus Sedan 1.6L Ambiente AT Detail,"₱280,000 ",2016.0,2013,Gasoline,Sedan,"65,000 Km",Second Owner,Automatic,Taguig,,
33,2008 Mitsubishi Galant 2.4L 240M AT Detail,"₱280,000 ",,2008,Gasoline,Sedan,,First Owner,Automatic,Paranaque,,
34,1997 Mitsubishi Pajero GLS 3.8 V6 Gas 4WD AT Detail,"₱280,000 ",,1997,Gasoline,Suv,,First Owner,Automatic,Quezon City,,
35,2008 Hyundai Accent 1.5 GL CRDi MT Detail,"₱280,000 ",,2008,Diesel,Sedan,,First Owner,Manual,Quezon City,,
36,2008 Kia Carens LX 2.0 L MT Detail,"₱280,000 ",,2008,Diesel,Mpv,,First Owner,Manual,Antipolo,,
