,model,price,registration_year,make_year,fuel_type,body_type,kms_driven,ownership,transmission,city,seats,engine_displacement
74,2014 Hyundai Starex 2.5L GRX MT Detail,"₱648,000 ",,2014,Diesel,Van,"40,000 Km",First Owner,Manual,Valenzuela,,2498 CC
75,2017 Mitsubishi L300 2.5L FB Deluxe MT Detail,"₱648,000 ",,2017,Diesel,Mpv,1 Km,First Owner,Manual,Pasig,,
76,2017 Mitsubishi L300 2.5 Exceed MT Detail,"₱648,000 ",,2017,Diesel,Van,"44,000 Km",First Owner,Manual,Quezon City,,
77,2015 Chevrolet Captiva 2.0 Dsl AT LS Detail,"₱648,000 ",,2015,Diesel,Crossover,1 Km,First Owner,Automatic,Pasig,7 seat,1998 CC
78,2019 Ford Ecosport 1.5 L Trend MT Detail,"₱648,000 ",,2019,Gasoline,Crossover,"4,000 Km",First Owner,Manual,Quezon City,5 seat,1498 CC
79,2022 Mitsubishi Mirage 1.2 GLX CVT Detail,"₱648,000 ",2022.0,2022,Gasoline,Hatchback,"12,000 Km",First Owner,Cvt,Lapu-Lapu City,,
80,2019 Hyundai Kona 2.0 GLS 6A/T Detail,"₱649,000 ",,2019,Gasoline,Crossover,"26,000 Km",First Owner,Automatic,Quezon City,5 seat,1998 CC
81,2022 Toyota Vios 1.3 XLE CVT Detail,"₱649,000 ",,2022,Gasoline,Sedan,"8,000 Km",First Owner,Cvt,Quezon City,5 seat,1329 CC
82,2010 Hyundai Grand Starex 2.5 HVX Detail,"₱650,000 ",,2010,Diesel,Van,"73,000 Km",First Owner,Automatic,Pasay,,2498 CC
83,2017 Mitsubishi Adventure 2.5 GLS Sport MT Detail,"₱650,000 ",,2017,Diesel,Mpv,"48,000 Km",First Owner,Manual,Quezon City,,2494 CC
84,2017 Mazda 3 Sedan 1.5 V Detail,"₱650,000 ",2022.0,2017,Gasoline,Sedan,"65,000 Km",First Owner,,Taguig,,
85,2017 Honda CR-V 2.4L MT Detail,"₱650,000 ",2017.0,2017,Gasoline,Suv,"50,000 Km",Second Owner,,Quezon City,,
86,2014 Toyota Innova 2.5L E MT Detail,"₱650,000 ",2014.0,2014,Diesel,Mpv,1 Km,First Owner,Manual,Quezon City,,
87,2012 Toyota Fortuner 2.4L G AT Detail,"₱650,000 ",2012.0,2012,Diesel,Suv,1 Km,First Owner,Automatic,Cebu City,7 seat,2393 CC
88,2016 Honda City 1.5 VX CVT Detail,"₱650,000 ",,2016,Gasoline,Sedan,"39,000 Km",First Owner,Automatic,Quezon City,5 seat,1496 CC
89,2017 Mitsubishi Adventure 2.5 GLX MT Detail,"₱650,000 ",2017.0,2017,Diesel,Mpv,"57,000 Km",Second Owner,Manual,Quezon City,7 seat,2477 CC
90,2011 Hyundai Santa Fe 2.2 CRDi GLS 8A/T 2WD (Dsl) Detail,"₱650,000 ",2021.0,2011,Diesel,Suv,"118,000 Km",Third Owner,Automatic,Bulacan,7 seat,2199 CC
91,2017 Honda Jazz 1.5 V CVT Detail,"₱650,000 ",2017.0,2017,Gasoline,Hatchback,"17,000 Km",First Owner,Cvt,Pasig,5 seat,1497 CC
92,2015 Subaru XV GT Edition Detail,"₱650,000 ",2016.0,2015,Gasoline,Suv,"115,000 Km",First Owner,Cvt,Quezon City,5 seat,1995 CC
